assmNum,assmName,level1,level2,level3,matchType
3280,n400 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3286,n500 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3292,n600 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3298,n750 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3307,5' drop n3 emt s/c strap 9',Feeder,EMT Drops,S/C Drops Strap,unique
3313,5' drop n2 emt s/c strap 9',Feeder,EMT Drops,S/C Drops Strap,unique
3319,5' drop n1 emt s/c strap 9',Feeder,EMT Drops,S/C Drops Strap,unique
3325,5' drop n1/0 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3331,5' drop n2/0 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3337,5' drop n3/0 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3343,5' drop n4/0 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3349,5' drop n250 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3355,5' drop n300 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3361,5' drop n350 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
3367,5' drop n400 emt s/c strap,Feeder,EMT Drops,S/C Drops Strap,unique
