Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
MC-AL-500-3&1-AL-PVC,50.1144,0.095
MC-AL-750-3&1/0-AL-PVC,72.4416,0.114
mc al cable w/str al wi,,
MC-AL-4-4-4-4-6-STR-AL,7.392,0.03971
MC-AL-2-2-2-2-6-STR-AL,10.1136,0.048
MC-AL-1-1-1-1-4-STR-AL,12.012,0.05225
MC-AL-1/0-4&4-STR-AL,11.592,0.05748
MC-AL-2/0-4&4-STR-AL,13.692,0.0627
MC-AL-3/0-4&4-STR-AL,21.2352,0.06793
MC-AL-4/0-4&2-STR-AL,25.2672,0.07315
MC-AL-250-4&1-STR-AL,27.7704,0.07838
MC-AL-300-4&1-STR-AL,28.6608,0.0836
MC-AL-350-4&1/0-STR-AL,30.2232,0.09405
MC-AL-400-4&1/0-STR-AL,30.4752,0.09955
MC-AL-500-4&2/0-STR-AL,40.3872,0.1045
MC-AL-600-4&2/0-STR-AL,45.1752,0.1155
MC-AL-750-4&3/0-STR-AL,47.88,0.1254
mc al cable w/str cu wi,,
MC-AL-8/3-STR-CU,5.0568,0.032
MC-AL-8/4-STR-CU,5.796,0.039
MC-AL-6/3-STR-CU,6.7704,0.038
MC-AL-4/3-STR-CU,10.7016,0.05
MC-AL-4/4-STR-CU,10.5,0.06
MC-AL-3/3-STR-CU,13.3728,0.055
MC-AL-3/4-STR-CU,13.8264,0.062
MC-AL-2/3-STR-CU,17.5224,0.062
MC-AL-2/4-STR-CU,19.5384,0.066
mc stl cable w/str cu w,,
MC-STL-8/3-STR-CU,4.8048,0.032
MC-STL-6/3-STR-CU,7.224,0.038
MC-STL-4/3-STR-CU,10.8696,0.05
hospital rated mc cable,,
